安徽电信,#genre#
CCTV1HD,rtp://238.1.78.166:7200
CCTV2HD,rtp://238.1.78.235:7752
CCTV3HD,rtp://238.1.78.170:7232
CCTV4HD,rtp://238.1.78.236:7760
CCTV5HD,rtp://238.1.78.171:7240
CCTV5+HD,rtp://238.1.78.237:7768
CCTV6HD,rtp://238.1.78.172:7248
CCTV7HD,rtp://238.1.78.239:7784
CCTV8HD,rtp://238.1.78.173:7256
CCTV9HD,rtp://238.1.78.240:7792
CCTV10HD,rtp://238.1.78.241:7800
CCTV11HD,rtp://238.1.78.206:7502
CCTV12HD,rtp://238.1.78.242:7808
CCTV13HD,rtp://238.1.79.35:4392
CCTV14HD,rtp://238.1.78.243:7816
CCTV15HD,rtp://238.1.78.222:7648
CGTN,rtp://238.1.78.50:6272
CCTV17HD,rtp://238.1.78.178:7296
北京卫视HD,rtp://238.1.78.162:7168
天津卫视HD,rtp://238.1.78.20:6088
重庆卫视HD,rtp://238.1.78.31:6176
东方卫视HD,rtp://238.1.78.163:7176
安徽卫视HD,rtp://238.1.78.150:7072
江苏卫视HD,rtp://238.1.78.165:7192
浙江卫视HD,rtp://238.1.78.164:7184
黑龙江卫视HD,rtp://238.1.78.159:7144
吉林卫视HD,rtp://238.1.79.48:4496
辽宁卫视HD,rtp://238.1.78.21:6096
东南卫视HD,rtp://238.1.78.22:6104
四川卫视HD,rtp://238.1.78.30:6168
江西卫视HD,rtp://238.1.78.26:6136
广东卫视HD,rtp://238.1.78.161:7160
海南卫视HD,rtp://238.1.79.49:4504
湖北卫视HD,rtp://238.1.78.168:7216
湖南卫视HD,rtp://238.1.78.160:7152
贵州卫视HD,rtp://238.1.78.244:7824
河北卫视HD,rtp://238.1.78.245:7832
河南卫视HD,rtp://238.1.79.65:4632
山东卫视HD,rtp://238.1.78.169:7224
甘肃卫视HD,rtp://238.1.79.36:4400
陕西卫视,rtp://238.1.78.88:6576
云南卫视,rtp://238.1.78.89:6584
山西卫视,rtp://238.1.78.95:6632
青海卫视,rtp://238.1.78.102:6688
广西卫视,rtp://238.1.78.70:6432
内蒙古卫视,rtp://238.1.78.103:6696
宁夏卫视,rtp://238.1.78.109:6744
新疆卫视,rtp://238.1.78.110:6752
西藏卫视,rtp://238.1.78.101:6680
深圳卫视HD,rtp://238.1.78.156:7120
兵团卫视,rtp://238.1.78.104:6704
三沙卫视,rtp://238.1.78.27:6144
厦门卫视,rtp://238.1.78.246:7840
安徽卫视FHD,rtp://238.1.79.27:4328
安徽经济HD,rtp://238.1.79.44:4464
安徽影视HD,rtp://238.1.79.42:4448
安徽公共HD,rtp://238.1.79.43:4456
安徽体育HD,rtp://238.1.79.41:4440
安徽科教HD,rtp://238.1.79.40:4432
安徽人物HD,rtp://238.1.79.45:4472
安徽国际,rtp://238.1.78.61:6360
安徽导视,rtp://238.1.79.66:4664
CETV1HD,rtp://238.1.78.158:7136
CETV2,rtp://238.1.78.106:6720
CETV4,rtp://238.1.78.107:6728
卡酷少儿,rtp://238.1.78.97:6648
哈哈炫动,rtp://238.1.78.82:6528
金鹰卡通,rtp://238.1.78.100:6672
山东教育,rtp://238.1.78.254:7904
