北京移动,#genre#
CCTV-1 综合[高清],rtp://228.1.1.28:8008	
CCTV-2 财经[高清],rtp://228.1.1.24:8084	
CCTV-3 综艺[高清],rtp://228.1.1.191:8002	
CCTV-4 中文国际[高清],rtp://228.1.1.25:8092	
CCTV-4 中文国际 欧洲[高清],rtp://228.1.1.213:4220	
CCTV-4 中文国际 美洲[高清],rtp://228.1.1.203:4220	
CCTV-5 体育[高清],rtp://228.1.1.192:8002	
CCTV-5+ 体育赛事[高清],rtp://228.1.1.23:8004	
CCTV-6 电影[高清],rtp://228.1.1.193:8002	
CCTV-7 国防军事[高清],rtp://228.1.1.26:8104	
CCTV-8 电视剧[高清],rtp://228.1.1.194:8002	
CCTV-9 纪录[高清],rtp://228.1.1.27:8112	
CCTV-10 科教[高清],rtp://228.1.1.29:8116	
CCTV-11 戏曲[高清],rtp://228.1.1.182:8120	
CCTV-12 社会与法[高清],rtp://228.1.1.30:8124	
CCTV-13 新闻[高清],rtp://228.1.1.212:8128	
CCTV-14 少儿[高清],rtp://228.1.1.31:8132	
CCTV-15 音乐[高清],rtp://228.1.1.183:8136	
CCTV-16 奥林匹克[超清HDR],rtp://228.1.1.218:8002	
CCTV-16 奥林匹克[高清],rtp://228.1.1.215:8002	
CCTV-17 农业农村[高清],rtp://228.1.1.181:8144	
CGTN 新闻[高清],rtp://228.1.1.204:4220	
CGTN 记录[高清],rtp://228.1.1.205:4220	
CGTN 西班牙语[高清],rtp://228.1.1.206:4220	
CGTN 法语[高清],rtp://228.1.1.207:4220	
CGTN 阿拉伯语[高清],rtp://228.1.1.208:4220	
CGTN 俄语[高清],rtp://228.1.1.209:4220	
北京北京卫视[高清],rtp://228.1.1.115:8000	
北京新闻[高清],rtp://228.1.1.189:8000	
北京影视[高清],rtp://228.1.1.190:8000	
北京文艺[高清],rtp://228.1.1.116:8000	
北京财经[高清],rtp://228.1.1.197:8000	
北京生活[高清],rtp://228.1.1.198:8000	
北京青年[高清],rtp://228.1.1.199:8000	
北京纪实科教[高清],rtp://228.1.1.196:8000	
北京卡酷少儿[高清],rtp://228.1.1.195:8000	
北京体育休闲[高清],rtp://228.1.1.117:8000	
北京国际频道[高清],rtp://228.1.1.111:8000	
北京 8K[高清],rtp://228.1.1.217:8002	
爱上4K[超清],rtp://228.1.1.38:2000	
4K超清[超清],rtp://228.1.1.123:8001	
淘电影[高清],rtp://228.1.1.124:8001	
每日影院[高清],rtp://228.1.1.120:8002	
星影,rtp://228.1.1.175:4120	
动作影院,rtp://228.1.1.173:4120	
光影,rtp://228.1.1.165:4120	
喜剧影院,rtp://228.1.1.172:4120	
家庭影院,rtp://228.1.1.174:4120	
精选,rtp://228.1.1.155:4120	
经典电影,rtp://228.1.1.89:9024	
纪实人文[高清],rtp://228.1.1.20:8060	
金鹰纪实[高清],rtp://228.1.1.34:8156	
风尚生活[高清],rtp://228.1.1.152:4120	
淘剧场[高清],rtp://228.1.1.126:8001	
幸福剧场[高清],rtp://228.1.1.133:8001	
幸福娱乐[高清],rtp://228.1.1.128:8001	
萌宠TV[高清],rtp://228.1.1.135:8002	
湖南卫视[高清],rtp://228.1.1.33:8012	
东方卫视[高清],rtp://228.1.1.39:8032	
浙江卫视[高清],rtp://228.1.1.13:8036	
江苏卫视[高清],rtp://228.1.1.37:8028	
深圳卫视[高清],rtp://228.1.1.36:8020	
广东卫视[高清],rtp://228.1.1.17:8048	
安徽卫视[高清],rtp://228.1.1.21:8064	
天津卫视[高清],rtp://228.1.1.15:1234	
重庆卫视[高清],rtp://228.1.1.210:8160	
山东卫视[高清],rtp://228.1.1.18:8052	
黑龙江卫视[高清],rtp://228.1.1.35:8016	
河北卫视[高清],rtp://228.1.1.187:8072	
辽宁卫视[高清],rtp://228.1.1.19:8056	
湖北卫视[高清],rtp://228.1.1.16:8044	
吉林卫视[高清],rtp://228.1.1.214:8172	
贵州卫视[高清],rtp://228.1.1.188:8076	
东南卫视[高清],rtp://228.1.1.185:8148	
江西卫视[高清],rtp://228.1.1.211:8164	
海南卫视,rtp://228.1.1.81:8304	
云南卫视,rtp://228.1.1.44:8108	
兵团卫视,rtp://228.1.1.177:4120	
厦门卫视,rtp://228.1.1.176:4120	
四川卫视,rtp://228.1.1.77:8288	
大湾区卫视,rtp://228.1.1.142:8002	
宁夏卫视,rtp://228.1.1.49:8124	
山西卫视,rtp://228.1.1.58:8172	
广西卫视,rtp://228.1.1.80:8300	
新疆卫视,rtp://228.1.1.56:8160	
河南卫视,rtp://228.1.1.50:8128	
甘肃卫视,rtp://228.1.1.61:8188	
西藏卫视,rtp://228.1.1.57:8164	
三沙卫视,rtp://228.1.1.186:4120	
陕西卫视,rtp://228.1.1.53:8140	
青海卫视,rtp://228.1.1.60:8184	
内蒙古卫视,rtp://228.1.1.59:8176	
中国交通[高清],rtp://228.1.1.222:8002	
朝阳融媒[高清],rtp://228.1.1.140:8001	
通州融媒[高清],rtp://228.1.1.139:8001	
延庆电视台,rtp://228.1.1.219:8002	
睛彩竞技[高清],rtp://228.1.1.223:8002	
睛彩篮球[高清],rtp://228.1.1.224:8002	
睛彩羽毛球[高清],rtp://228.1.1.225:8002	
睛彩广场舞[高清],rtp://228.1.1.226:8002	
茶频道[高清],rtp://228.1.1.145:8002	
体育赛事[高清],rtp://228.1.1.202:8002	
快乐垂钓[高清],rtp://228.1.1.144:8002	
大健康[高清],rtp://228.1.1.125:8001	
CETV1[高清],rtp://228.1.1.32:8152	
CETV2,rtp://228.1.1.97:4120	
CETV3,rtp://228.1.1.98:4120	
CETV4,rtp://228.1.1.99:4120	
少儿动画,rtp://228.1.1.83:9000	
热播剧场,rtp://228.1.1.88:9020	
解密,rtp://228.1.1.156:4120	
军事,rtp://228.1.1.157:4120	
军旅剧场,rtp://228.1.1.149:4120	
动画,rtp://228.1.1.161:4120	
古装剧场,rtp://228.1.1.150:4120	
台球,rtp://228.1.1.166:4120	
嘉佳卡通,rtp://228.1.1.93:9268	
国学,rtp://228.1.1.158:4120	
城市剧场,rtp://228.1.1.148:4120	
墨宝,rtp://228.1.1.164:4120	
好学生,rtp://228.1.1.162:4120	
山东教育,rtp://228.1.1.96:4120	
戏曲,rtp://228.1.1.159:4120	
收视指南,rtp://228.1.1.108:8012	
早教,rtp://228.1.1.160:4120	
武侠剧场,rtp://228.1.1.171:4120	
武术,rtp://228.1.1.168:4120	
爱生活,rtp://228.1.1.167:4120	
美人,rtp://228.1.1.154:4120	
美妆,rtp://228.1.1.153:4120	
财富天下,rtp://228.1.1.90:9136	
足球,rtp://228.1.1.170:4120	
金鹰卡通,rtp://228.1.1.92:9252	
鉴赏,rtp://228.1.1.163:4120	
音乐现场,rtp://228.1.1.151:4120	
高网,rtp://228.1.1.169:4120	
魅力时尚,rtp://228.1.1.86:9012	
