北京电信,#genre#
CCTV-1综合[高清],rtp://225.1.8.1:8008
CCTV-2[高清],rtp://225.1.8.2:8084
CCTV-3综艺[高清],rtp://225.1.8.88:8000
CCTV-4中文国际[高清],rtp://225.1.8.4:8092
CCTV-5体育[高清],rtp://225.1.8.89:8000
CCTV5+[高清],rtp://225.1.8.20:8004
CCTV-6电影[高清],rtp://225.1.8.84:8000
CCTV-7国防军事[高清],rtp://225.1.8.7:8104
CCTV-8电视剧[高清],rtp://225.1.8.85:8000
CCTV-9纪录[高清],rtp://225.1.8.9:8112
CCTV-10科教[高清],rtp://225.1.8.10:8116
CCTV-11戏曲[高清],rtp://225.1.8.73:8120
CCTV-12社会与法[高清],rtp://225.1.8.12:8124
CCTV-13新闻[高清],rtp://225.1.1.10:8128
CCTV-14少儿[高清],rtp://225.1.8.14:8132
CCTV-15音乐[高清],rtp://225.1.8.74:8136
湖南卫视[高清],rtp://225.1.8.41:8012
浙江卫视[高清],rtp://225.1.8.46:8036
江苏卫视[高清],rtp://225.1.8.44:8028
北京卫视[高清],rtp://225.1.8.21:8002
东方卫视[高清],rtp://225.1.8.45:8032
安徽卫视[高清],rtp://225.1.8.52:8064
广东卫视[高清],rtp://225.1.8.49:8048
深圳卫视[高清],rtp://225.1.8.43:8020
辽宁卫视[高清],rtp://225.1.8.51:8056
山东卫视[高清],rtp://225.1.8.50:8052
天津卫视[高清],rtp://225.1.8.48:8044
黑龙江卫视[高清],rtp://225.1.8.42:8016
湖北卫视[高清],rtp://225.1.8.47:8044
BRTV文艺[高清],rtp://225.1.8.22:8002
BRTV冬奥纪实[高清],rtp://225.1.8.23:8002
IPTV5+[高清],rtp://225.1.8.33:4120
北京IPTV 萌宠TV[高清],rtp://225.1.8.63:8002
北京IPTV淘Baby[高清],rtp://225.1.8.36:8002
北京IPTV淘剧场[高清],rtp://225.1.8.37:8002
北京IPTV淘电影[高清],rtp://225.1.8.38:8002
北京IPTV淘娱乐[高清],rtp://225.1.8.61:8002
北京IPTV 4K超清[4K],rtp://225.1.8.211:8002
爱上4K[4K],rtp://225.1.8.80:2000
纪实[高清],rtp://225.1.8.53:8060
CETV[高清],rtp://225.1.8.32:8152
金鹰纪实[高清],rtp://225.1.8.31:8156
快乐垂钓[高清],rtp://225.1.8.71:8002
茶频道[高清],rtp://225.1.8.72:8002
CCTV-1综合,rtp://225.1.8.101:8080
CCTV-2财经,rtp://225.1.8.102:8004
CCTV-4中文国际,rtp://225.1.8.104:8216
CCTV-7国防军事,rtp://225.1.8.107:8024
CCTV-9纪录,rtp://225.1.8.109:8032
CCTV-10科教,rtp://225.1.8.110:8228
CCTV-11戏曲,rtp://225.1.8.111:8040
CCTV-12社会与法,rtp://225.1.8.112:8232
CCTV-13新闻,rtp://225.1.8.113:8264
CCTV-14少儿,rtp://225.1.8.114:8236
CCTV-15音乐,rtp://225.1.8.115:8052
CGTV,rtp://225.1.8.116:8056
BRTV北京卫视,rtp://225.1.8.121:8002
BRTV文艺,rtp://225.1.8.122:8002
BRTV科教,rtp://225.1.8.123:8002
BRTV影视,rtp://225.1.8.124:8002
BRTV财经,rtp://225.1.8.125:8002
BRTV冬奥纪实,rtp://225.1.8.126:8002
BRTV生活,rtp://225.1.8.127:8002
BRTV青年,rtp://225.1.8.128:8002
BRTV新闻,rtp://225.1.8.129:8002
BRTV卡酷少儿,rtp://225.1.8.130:8002
BRTV国际频道,rtp://225.1.8.131:8002
湖南卫视,rtp://225.1.8.132:8064
浙江卫视,rtp://225.1.8.133:8284
江苏卫视,rtp://225.1.8.134:8276
东方卫视,rtp://225.1.8.147:8192
安徽卫视,rtp://225.1.8.135:8272
广东卫视,rtp://225.1.8.151:8132
深圳卫视,rtp://225.1.8.145:9244
辽宁卫视,rtp://225.1.8.137:8116
海南卫视,rtp://225.1.8.158:8304
山东卫视,rtp://225.1.8.138:8148
天津卫视,rtp://225.1.8.136:8144
重庆卫视,rtp://225.1.8.148:8296
东南卫视,rtp://225.1.8.149:8112
甘肃卫视,rtp://225.1.8.162:8188
广西卫视,rtp://225.1.8.152:8300
贵州卫视,rtp://225.1.8.144:8120
河北卫视,rtp://225.1.8.150:8292
黑龙江卫视,rtp://225.1.8.141:8196
河南卫视,rtp://225.1.8.140:8128
湖北卫视,rtp://225.1.8.146:8136
江西卫视,rtp://225.1.8.143:8280
吉林卫视,rtp://225.1.8.153:8200
内蒙古卫视,rtp://225.1.8.156:8176
宁夏卫视,rtp://225.1.8.159:8124
山西卫视,rtp://225.1.8.155:8172
陕西卫视,rtp://225.1.8.154:8140
四川卫视,rtp://225.1.8.142:8288
新疆卫视,rtp://225.1.8.161:8160
云南卫视,rtp://225.1.8.139:8108
青海卫视,rtp://225.1.8.157:8184
南方卫视,rtp://225.1.8.225:5008
兵团卫视,rtp://225.1.8.167:4120
厦门卫视,rtp://225.1.8.166:4120
金鹰卡通,rtp://225.1.8.163:9252
西藏卫视,rtp://225.1.8.160:8164
财富天下,rtp://225.1.8.165:9136
嘉佳卡通,rtp://225.1.8.170:9268
山东教育,rtp://225.1.8.190:4120
中国教育1台,rtp://225.1.8.169:4120
中国教育2台,rtp://225.1.8.193:4120
中国教育3台,rtp://225.1.8.194:4120
中国教育4台,rtp://225.1.8.195:4120
IPTV收视指南,rtp://225.1.8.201:8012
热播剧场,rtp://225.1.8.202:9020
经典电影,rtp://225.1.8.203:9024
魅力时尚,rtp://225.1.8.204:9012
IPTV 3+,rtp://225.1.8.206:9004
IPTV 5+,rtp://225.1.8.208:9008
IPTV 6+,rtp://225.1.8.205:9016
IPTV 8+,rtp://225.1.8.209:8072
IPTV 少儿动画,rtp://225.1.8.207:9000
FTV,rtp://225.1.8.68:8002
朝阳融媒,rtp://225.1.8.69:8002
地理,rtp://225.1.8.231:4120
美妆,rtp://225.1.8.232:4120
美人,rtp://225.1.8.233:4120
精选,rtp://225.1.8.234:4120
解密,rtp://225.1.8.235:4120
军事,rtp://225.1.8.236:4120
国学,rtp://225.1.8.237:4120
戏曲,rtp://225.1.8.238:4120
早教,rtp://225.1.8.239:4120
动画,rtp://225.1.8.240:4120
好学生,rtp://225.1.8.241:4120
鉴赏,rtp://225.1.8.242:4120
墨宝,rtp://225.1.8.243:4120
光影,rtp://225.1.8.244:4120
台球,rtp://225.1.8.245:4120
武术,rtp://225.1.8.247:4120
高尔夫网球,rtp://225.1.8.248:4120
足球,rtp://225.1.8.249:4120
星影,rtp://225.1.8.254:4120
爱生活,rtp://225.1.8.246:4120
武侠剧场,rtp://225.1.8.250:4120
喜剧影院,rtp://225.1.8.251:4120
动作影院,rtp://225.1.8.252:4120
家庭影院,rtp://225.1.8.253:4120
城市剧场,rtp://225.1.8.227:4120
军旅剧场,rtp://225.1.8.228:4120
古装剧场,rtp://225.1.8.229:4120
音乐现场,rtp://225.1.8.230:4120
熊猫频道,rtp://225.1.8.210:8068
