移动,#genre#
CCTV1,rtp://239.253.112.17:9000
CCTV2,rtp://239.253.112.18:9000
CCTV3,rtp://239.253.112.19:9000
CCTV4,rtp://239.253.112.20:9000
CCTV5,rtp://239.253.112.21:9000
CCTV5+,rtp://239.253.112.73:9000
CCTV6,rtp://239.253.112.22:9000
CCTV7,rtp://239.253.112.23:9000
CCTV8,rtp://239.253.112.24:9000
CCTV9,rtp://239.253.112.25:9000
纪实频道,rtp://239.253.112.72:9000
CCTV10,rtp://239.253.112.26:9000
CCTV11,rtp://239.253.112.78:9000
CCTV12,rtp://239.253.112.27:9000
CCTV14,rtp://239.253.112.29:9000
CCTV15,rtp://239.253.112.30:9000
重庆卫视,rtp://239.253.112.1:9000
东南卫视,rtp://239.253.112.54:9000
江苏卫视,rtp://239.253.112.36:9000
浙江卫视,rtp://239.253.112.37:9000
上海卫视,rtp://239.253.112.38:9000
深圳卫视,rtp://239.253.112.39:9000
北京卫视,rtp://239.253.112.40:9000
山东卫视,rtp://239.253.112.41:9000
天津卫视,rtp://239.253.112.42:9000
贵州卫视,rtp://239.253.112.43:9000
四川卫视,rtp://239.253.112.44:9000
湖南卫视,rtp://239.253.112.58:9000
云南卫视,rtp://239.253.112.45:9000
广西卫视,rtp://239.253.112.46:9000
黑龙江卫视,rtp://239.253.112.47:9000
安徽卫视,rtp://239.253.112.48:9000
陕西卫视,rtp://239.253.112.49:9000
江西卫视,rtp://239.253.112.50:9000
湖北卫视,rtp://239.253.112.51:9000
陕西卫视,rtp://239.253.112.53:9000
东南卫视,rtp://239.253.112.54:9000
辽宁卫视,rtp://239.253.112.56:9000
内蒙古卫视,rtp://239.253.112.57:9000
湖南卫视,rtp://239.253.112.58:9000
广东卫视,rtp://239.253.112.59:9000
河南卫视,rtp://239.253.112.60:9000
河北卫视,rtp://239.253.112.61:9000
宁夏卫视,rtp://239.253.112.62:9000
甘肃卫视,rtp://239.253.112.63:9000
金鹰卡通,rtp://239.253.112.66:9000
嘉嘉卡通,rtp://239.253.112.67:9000
青海卫视,rtp://239.253.112.69:9000
新疆卫视,rtp://239.253.112.70:9000
西藏卫视,rtp://239.253.112.71:9000
重庆新闻,rtp://239.253.112.2:9000
重庆社会与法,rtp://239.253.112.4:9000
重庆新农村,rtp://239.253.112.7:9000
重庆时尚,rtp://239.253.112.5:9000
重庆娱乐,rtp://239.253.112.6:9000
重庆影视,rtp://239.253.112.3:9000
重庆少儿,rtp://239.253.112.8:9000
重庆科教,rtp://239.253.112.9:9000
重庆汽摩,rtp://239.253.112.11:9000
1,rtp://239.253.112.64:9000
2,rtp://239.253.112.65:9000
3,rtp://239.253.112.68:9000
4,rtp://239.253.112.74:9000
5,rtp://239.253.112.75:9000
6,rtp://239.253.112.76:9000
7,rtp://239.253.112.77:9000
8,rtp://239.253.112.79:9000
