联通,#genre#
CCTV1 综合,rtp://225.0.4.74:7980
CCTV2 财经,rtp://225.0.4.132:7980
CCTV3 综艺,rtp://225.0.4.142:7980
CCTV4 中文国际,rtp://225.0.4.176:7980
CCTV5 体育,rtp://225.0.4.143:7980
CCTV5+ 体育赛事,rtp://225.0.4.73:7980
CCTV6 电影,rtp://225.0.4.144:7980
CCTV7 国防军事,rtp://225.0.4.127:7980
CCTV8 电视剧,rtp://225.0.4.137:7980
CCTV9 纪录,rtp://225.0.4.131:7980
CCTV10 科教,rtp://225.0.4.130:7980
CCTV11 戏曲,rtp://225.0.4.218:7980
CCTV12 社会与法,rtp://225.0.4.129:7980
CCTV13 新闻,rtp://225.0.4.219:7980
CCTV14 少儿,rtp://225.0.4.128:7980
CCTV15 音乐,rtp://225.0.4.220:7980
CCTV17 农业农村,rtp://225.0.4.179:7980
CETV1,rtp://225.0.4.186:7980
CETV4 SD,rtp://225.0.4.185:7980
CGTN SD,rtp://225.0.4.12:7980
CHC 动作电影,rtp://225.0.4.229:7980
CHC 高清电影,rtp://225.0.4.230:7980
CHC 家庭影院,rtp://225.0.4.228:7980
IPTV3+ SD,rtp://225.0.4.51:7980
IPTV5+ SD,rtp://225.0.4.53:7980
IPTV6+ SD,rtp://225.0.4.50:7980
IPTV8+ SD,rtp://225.0.4.54:7980
IPTV导视,rtp://225.0.4.178:7980
IPTV相声小品 SD,rtp://225.0.4.56:7980
IPTV野外 SD,rtp://225.0.4.57:7980
爱上4K HEVC,rtp://225.0.4.226:7980
安徽卫视,rtp://225.0.4.133:7980
北京卡酷少儿 SD,rtp://225.0.4.45:7980
北京卫视,rtp://225.0.4.78:7980
重庆购物,rtp://225.0.4.198:7980
重庆科教,rtp://225.0.4.193:7980
重庆汽摩,rtp://225.0.4.195:7980
重庆少儿,rtp://225.0.4.191:7980
重庆社会与法,rtp://225.0.4.190:7980
重庆时尚生活,rtp://225.0.4.196:7980
重庆卫视,rtp://225.0.4.187:7980
重庆卫视（无台标）,rtp://225.0.4.197:7980
重庆文体娱乐,rtp://225.0.4.194:7980
重庆新农村,rtp://225.0.4.189:7980
重庆新闻,rtp://225.0.4.188:7980
重庆移动,rtp://225.0.4.215:7980
重庆影视,rtp://225.0.4.192:7980
东方卫视,rtp://225.0.4.80:7980
东南卫视,rtp://225.0.4.200:7980
甘肃卫视 SD,rtp://225.0.4.44:7980
广东嘉佳卡通 SD,rtp://225.0.4.221:7980
广东卫视,rtp://225.0.4.84:7980
广西卫视 SD,rtp://225.0.4.34:7980
贵州卫视,rtp://225.0.4.175:7980
海南卫视 SD,rtp://225.0.4.40:7980
迪士尼卡通 SD,rtp://225.0.4.52:7980
杭州求索纪录,rtp://225.0.4.232:7980
河北卫视,rtp://225.0.4.174:7980
河南卫视 SD,rtp://225.0.4.22:7980
黑龙江卫视,rtp://225.0.4.201:7980
湖北金鹰卡通 SD,rtp://225.0.4.46:7980
湖北精彩影视,rtp://225.0.4.231:7980
湖北卫视,rtp://225.0.4.217:7980
湖南茶频道,rtp://225.0.4.233:7980
湖南快乐垂钓,rtp://225.0.4.214:7980
湖南卫视,rtp://225.0.4.75:7980
吉林家有购物 SD,rtp://225.0.4.214:7980
吉林卫视 SD,rtp://225.0.4.225:7980
江苏卫视,rtp://225.0.4.79:7980
江西卫视 SD,rtp://225.0.4.25:7980
辽宁卫视,rtp://225.0.4.98:7980
内蒙古卫视 SD,rtp://225.0.4.38:7980
宁夏卫视 SD,rtp://225.0.4.41:7980
青海卫视 SD,rtp://225.0.4.39:7980
山东卫视,rtp://225.0.4.199:7980
陕西卫视 SD,rtp://225.0.4.37:7980
上海纪实人文,rtp://225.0.4.99:7980
上海乐游 SD,rtp://225.0.4.113:7980
深圳财富天下 SD,rtp://225.0.4.112:7980
深圳卫视,rtp://225.0.4.202:7980
四川卫视,rtp://225.0.4.204:7980
天津卫视,rtp://225.0.4.82:7980
新疆卫视 SD,rtp://225.0.4.43:7980
西藏卫视 SD,rtp://225.0.4.42:7980
云南卫视 SD,rtp://225.0.4.21:7980
浙江卫视,rtp://225.0.4.81:7980
爱生活 SD,rtp://225.0.4.164:7980
城市剧场 SD,rtp://225.0.4.145:7980
地理 SD,rtp://225.0.4.149:7980
谍战剧场 SD,rtp://225.0.4.55:7980
动画 SD,rtp://225.0.4.158:7980
动作影院 SD,rtp://225.0.4.170:7980
高网 SD,rtp://225.0.4.166:7980
古装剧场 SD,rtp://225.0.4.147:7980
光影 SD,rtp://225.0.4.162:7980
国学 SD,rtp://225.0.4.155:7980
好学生 SD,rtp://225.0.4.159:7980
家庭影院 SD,rtp://225.0.4.171:7980
鉴赏 SD,rtp://225.0.4.160:7980
解密 SD,rtp://225.0.4.153:7980
经典电影 SD,rtp://225.0.4.48:7980
军旅剧场 SD,rtp://225.0.4.146:7980
军事 SD,rtp://225.0.4.154:7980
美人 SD,rtp://225.0.4.151:7980
美妆 SD,rtp://225.0.4.150:7980
魅力时尚 SD,rtp://225.0.4.49:7980
墨宝 SD,rtp://225.0.4.161:7980
热播剧场 SD,rtp://225.0.4.47:7980
台球 SD,rtp://225.0.4.163:7980
未知新闻 SD,rtp://225.0.4.58:7980
武术 SD,rtp://225.0.4.165:7980
武侠剧场 SD,rtp://225.0.4.168:7980
喜剧影院 SD,rtp://225.0.4.169:7980
戏曲 SD,rtp://225.0.4.156:7980
星影 SD,rtp://225.0.4.172:7980
音乐现场 SD,rtp://225.0.4.148:7980
早教 SD,rtp://225.0.4.157:7980
