电信,#genre#

CCTV-1(高清)RTSP-2212,rtp://239.61.4.176:1025
CCTV-2(高清) (0222),rtp://239.61.5.61:1025
CCTV3标清,rtp://239.61.4.120:1025
CCTV-4(高清) (0222),rtp://239.61.5.56:1025
CCTV5标清,rtp://239.61.4.121:1025
CCTV-5＋(高清),rtp://239.61.5.58:1025
CCTV6标清,rtp://239.61.4.122:1025
CCTV-7(高清),rtp://239.61.5.62:1025
CCTV8 (现网使用),rtp://239.61.4.137:1025
CCTV-9(高清),rtp://239.61.5.59:1025
CCTV-10(高清),rtp://239.61.5.63:1025
CCTV-11,rtp://239.61.4.21:1025
CCTV-12(高清) (0222),rtp://239.61.5.64:1025
CCTV-新闻,rtp://239.61.4.23:1025
CCTV-14(高清) (0222),rtp://239.61.5.65:1025
CCTV-音乐,rtp://239.61.4.25:1025
CGTN,rtp://239.61.4.19:1025
CCTV-16(高清),rtp://239.61.4.135:1025
CCTV-17(高清),rtp://239.61.5.158:1025
优购物,rtp://239.61.5.131:1025
快乐购物,rtp://239.61.5.192:1025
央广购物,rtp://239.61.5.106:1025
福建综合(高清) ,rtp://239.61.5.167:1025
东南卫视(高清) (0222),rtp://239.61.4.114:1025
福建公共,rtp://239.61.4.3:1025
海峡卫视HD,rtp://239.61.5.45:1025
福建教育频道,rtp://239.61.5.60:1025
厦门卫视,rtp://239.61.4.11:1025
聚鲨环球精选,rtp://239.61.4.190:1025
东方卫视(高清) (0222),rtp://239.61.4.28:1025
湖南卫视(高清)  (0222),rtp://239.61.4.31:1025
江苏卫视(高清) (0222),rtp://239.61.4.30:1025
浙江卫视(高清) ,rtp://239.61.4.29:1025
河北卫视(高清),rtp://239.61.4.59:1025
广东卫视(高清),rtp://239.61.4.33:1025
山东卫视(高清),rtp://239.61.4.37:1025
湖北卫视(高清),rtp://239.61.4.36:1025
深圳卫视(高清),rtp://239.61.4.134:1025
黑龙江卫视(高清),rtp://239.61.4.34:1025
贵州卫视(高清),rtp://239.61.5.46:1025
安徽卫视(高清),rtp://239.61.5.157:1025
天津卫视(高清),rtp://239.61.5.67:1025
四川卫视(高清),rtp://239.61.5.160:1025
江西卫视(高清),rtp://239.61.5.69:1025
辽宁卫视(高清),rtp://239.61.5.68:1025
重庆卫视(高清),rtp://239.61.5.159:1025
北京卫视(高清),rtp://239.61.4.32:1025
云南卫视,rtp://239.61.4.63:1025
河南卫视(高清),rtp://239.61.4.61:1025
海南卫视（高清）,rtp://239.61.5.190:1025
广西卫视,rtp://239.61.4.50:1025
陕西卫视,rtp://239.61.4.40:1025
青海卫视,rtp://239.61.4.62:1025
宁夏卫视,rtp://239.61.4.58:1025
中国教育-1(高清),rtp://239.61.5.53:1025
纪实频道(高清),rtp://239.61.5.51:1025
中国教育-2,rtp://239.61.5.169:1025
中国气象,rtp://239.61.4.66:1025
金鹰卡通,rtp://239.61.5.107:1025
卡酷卡通,rtp://239.61.5.108:1025
吉林卫视（高清）,rtp://239.61.5.109:1025
山西卫视,rtp://239.61.5.110:1025
甘肃卫视,rtp://239.61.5.111:1025
内蒙古卫视,rtp://239.61.5.112:1025
新疆卫视,rtp://239.61.5.113:1025
兵团卫视,rtp://239.61.5.114:1025
西藏卫视,rtp://239.61.5.115:1025
南方卫视,rtp://239.61.5.170:1025
金鹰纪实卫视（高清）,rtp://239.61.5.171:1025
三沙卫视,rtp://239.61.5.191:1025
中国教育4,rtp://239.61.5.196:1025
欢笑剧场(高清),rtp://239.61.5.30:1025
都市剧场(高清),rtp://239.61.5.33:1025
哈哈炫动,rtp://239.61.4.72:1025
动漫秀场(高清),rtp://239.61.5.32:1025
嘉佳卡通,rtp://239.61.4.74:1025
游戏风云(高清),rtp://239.61.5.29:1025
全纪实(高清),rtp://239.61.5.31:1025
法治天地,rtp://239.61.4.77:1025
东方财*,rtp://239.61.4.78:1025
金色频道,rtp://239.61.4.80:1025
快乐垂钓(高清),rtp://239.61.5.189:1025
生活时尚(高清),rtp://239.61.5.25:1025
中华特产(测试),rtp://239.61.4.177:1025
车迷(测试),rtp://239.61.4.178:1025
优优宝贝(测试),rtp://239.61.4.179:1025
环球旅游(测试),rtp://239.61.4.180:1025
生态环境(测试),rtp://239.61.4.181:1025
百姓健康(测试),rtp://239.61.4.182:1025
四海钓鱼(测试),rtp://239.61.4.183:1025
家庭理财(测试),rtp://239.61.4.185:1025
财富天下(测试),rtp://239.61.4.186:1025
证券服务(测试),rtp://239.61.4.187:1025
先锋乒羽,rtp://239.61.4.168:1025
茶频道,rtp://239.61.4.167:1025
CHC动作频道(高清),rtp://239.61.4.169:1025
梨园(高清),rtp://239.61.4.170:1025
文物宝库(高清),rtp://239.61.4.171:1025
武术世界(高清),rtp://239.61.4.172:1025
新动漫,rtp://239.61.4.173:1025
中学生(测试),rtp://239.61.4.188:1025
发现之旅(测试),rtp://239.61.4.189:1025
书画频道(测试),rtp://239.61.4.199:1025
老故事频道(测试),rtp://239.61.4.200:1025
福州新闻,rtp://239.61.5.97:1025
厦门1套,rtp://239.61.5.99:1025
漳州新闻,rtp://239.61.5.91:1025
泉州新闻,rtp://239.61.5.98:1025
三明新闻,rtp://239.61.5.93:1025
莆田新闻,rtp://239.61.5.94:1025
南平新闻,rtp://239.61.5.92:1025
龙岩新闻,rtp://239.61.5.95:1025
宁德新闻,rtp://239.61.5.96:1025
马赛克导航1,rtp://239.61.5.213:1025
马赛克导航2,rtp://239.61.5.214:1025
CGTN法语(高清),rtp://239.61.4.131:1025
CGTN俄语(高清),rtp://239.61.4.132:1025
CGTN英文纪录(高清),rtp://239.61.4.133:1025
三明慢直播1,rtp://239.61.4.191:1025
三明慢直播2,rtp://239.61.4.192:1025
三明慢直播3,rtp://239.61.4.193:1025
直播室101,rtp://239.61.5.9:1025
直播室102,rtp://239.61.5.10:1025
直播室103,rtp://239.61.5.11:1025
直播室104,rtp://239.61.5.12:1025
直播室105,rtp://239.61.5.13:1025
直播室106,rtp://239.61.5.14:1025
直播室107,rtp://239.61.5.15:1025
CCTV-5(标清),rtp://239.61.5.217:1025
融媒体直播,rtp://239.61.4.142:1025
第一财*,rtp://239.61.4.161:1025
高网频道,rtp://239.61.4.130:1025
新闻综合广播,rtp://239.61.5.154:1025
交通广播,rtp://239.61.5.155:1025
爱上4K,rtp://239.61.5.164:1025
松溪慢直播,rtp://239.61.4.141:1025
股评汇,rtp://239.61.4.94:1025
党建频道,rtp://239.61.5.50:1025
党建频道2,rtp://239.61.5.57:1025
福建综合,rtp://239.61.4.1:1025
东南卫视（高清）,rtp://239.61.4.201:1025
CCTV-1 -2311,rtp://239.61.4.175:1025
福建新闻,rtp://239.61.4.4:1025
福建电视剧,rtp://239.61.4.5:1025
福建旅游,rtp://239.61.4.6:1025
福建经济生活,rtp://239.61.4.7:1025
福建体育HD,rtp://239.61.5.44:1025
福建少儿,rtp://239.61.4.9:1025
海峡卫视HD,rtp://239.61.5.45:1025
福建教育频道,rtp://239.61.5.60:1025[/hide]
厦门卫视,rtp://239.61.4.11:1025
聚鲨环球精选,rtp://239.61.4.190:1025
CCTV-1(高清)RTSP-2212,rtp://239.61.4.176:1025
CCTV-2(高清) (0222),rtp://239.61.5.61:1025
CCTV3标清,rtp://239.61.4.120:1025
CCTV-4(高清) (0222),rtp://239.61.5.56:1025
CCTV5标清,rtp://239.61.4.121:1025
CCTV-5＋(高清),rtp://239.61.5.58:1025
CCTV6标清,rtp://239.61.4.122:1025
CCTV-7(高清),rtp://239.61.5.62:1025
CCTV8 (现网使用),rtp://239.61.4.137:1025
CCTV-9(高清),rtp://239.61.5.59:1025
CCTV-10(高清),rtp://239.61.5.63:1025
CCTV-11,rtp://239.61.4.21:1025
CCTV-12(高清) (0222),rtp://239.61.5.64:1025
CCTV-新闻,rtp://239.61.4.23:1025
CCTV-14(高清) (0222),rtp://239.61.5.65:1025
CCTV-音乐,rtp://239.61.4.25:1025
CGTN,rtp://239.61.4.19:1025
CCTV-16(高清),rtp://239.61.4.135:1025
CCTV-17(高清),rtp://239.61.5.158:1025
优购物,rtp://239.61.5.131:1025
快乐购物,rtp://239.61.5.192:1025
央广购物,rtp://239.61.5.106:1025
东方卫视(高清) (0222),rtp://239.61.4.28:1025
湖南卫视(高清)  (0222),rtp://239.61.4.31:1025
江苏卫视(高清) (0222),rtp://239.61.4.30:1025
浙江卫视(高清) ,rtp://239.61.4.29:1025
河北卫视(高清),rtp://239.61.4.59:1025
广东卫视(高清),rtp://239.61.4.33:1025
山东卫视(高清),rtp://239.61.4.37:1025
湖北卫视(高清),rtp://239.61.4.36:1025
深圳卫视(高清),rtp://239.61.4.134:1025
黑龙江卫视(高清),rtp://239.61.4.34:1025
贵州卫视(高清),rtp://239.61.5.46:1025
安徽卫视(高清),rtp://239.61.5.157:1025
天津卫视(高清),rtp://239.61.5.67:1025
四川卫视(高清),rtp://239.61.5.160:1025
江西卫视(高清),rtp://239.61.5.69:1025
辽宁卫视(高清),rtp://239.61.5.68:1025
重庆卫视(高清),rtp://239.61.5.159:1025
北京卫视(高清),rtp://239.61.4.32:1025
云南卫视,rtp://239.61.4.63:1025
河南卫视(高清),rtp://239.61.4.61:1025
海南卫视（高清）,rtp://239.61.5.190:1025
广西卫视,rtp://239.61.4.50:1025
陕西卫视,rtp://239.61.4.40:1025
青海卫视,rtp://239.61.4.62:1025
宁夏卫视,rtp://239.61.4.58:1025
中国教育-1(高清),rtp://239.61.5.53:1025
纪实频道(高清),rtp://239.61.5.51:1025
中国教育-2,rtp://239.61.5.169:1025
中国气象,rtp://239.61.4.66:1025
金鹰卡通,rtp://239.61.5.107:1025
卡酷卡通,rtp://239.61.5.108:1025
吉林卫视（高清）,rtp://239.61.5.109:1025
山西卫视,rtp://239.61.5.110:1025
甘肃卫视,rtp://239.61.5.111:1025
内蒙古卫视,rtp://239.61.5.112:1025
新疆卫视,rtp://239.61.5.113:1025
兵团卫视,rtp://239.61.5.114:1025
西藏卫视,rtp://239.61.5.115:1025
南方卫视,rtp://239.61.5.170:1025
金鹰纪实卫视（高清）,rtp://239.61.5.171:1025
三沙卫视,rtp://239.61.5.191:1025
中国教育4,rtp://239.61.5.196:1025
欢笑剧场(高清),rtp://239.61.5.30:1025
都市剧场(高清),rtp://239.61.5.33:1025
哈哈炫动,rtp://239.61.4.72:1025
动漫秀场(高清),rtp://239.61.5.32:1025
嘉佳卡通,rtp://239.61.4.74:1025
游戏风云(高清),rtp://239.61.5.29:1025
全纪实(高清),rtp://239.61.5.31:1025
法治天地,rtp://239.61.4.77:1025
东方财*,rtp://239.61.4.78:1025
金色频道,rtp://239.61.4.80:1025
快乐垂钓(高清),rtp://239.61.5.189:1025
生活时尚(高清),rtp://239.61.5.25:1025
中华特产(测试),rtp://239.61.4.177:1025
车迷(测试),rtp://239.61.4.178:1025
优优宝贝(测试),rtp://239.61.4.179:1025
环球旅游(测试),rtp://239.61.4.180:1025
生态环境(测试),rtp://239.61.4.181:1025
百姓健康(测试),rtp://239.61.4.182:1025
四海钓鱼(测试),rtp://239.61.4.183:1025
家庭理财(测试),rtp://239.61.4.185:1025
财富天下(测试),rtp://239.61.4.186:1025
证券服务(测试),rtp://239.61.4.187:1025
先锋乒羽,rtp://239.61.4.168:1025
茶频道,rtp://239.61.4.167:1025
CHC动作频道(高清),rtp://239.61.4.169:1025
梨园(高清),rtp://239.61.4.170:1025
文物宝库(高清),rtp://239.61.4.171:1025
武术世界(高清),rtp://239.61.4.172:1025
新动漫,rtp://239.61.4.173:1025
中学生(测试),rtp://239.61.4.188:1025
