联通,#genre#
CTV-1(高清),rtp://239.255.40.35:8208
CCTV-2(高清),rtp://239.255.40.36:8208
IPTV3＋,rtp://239.255.40.62:8208
CCTV-4(高清),rtp://239.255.40.161:8208
IPTV5＋(高清),rtp://239.255.40.71:8208
CCTV-5＋(高清),rtp://239.255.40.34:8208
IPTV6＋,rtp://239.255.40.64:8208
CCTV-7(高清),rtp://239.255.40.37:8208
IPTV8＋,rtp://239.255.40.65:8208
CCTV-9(高清),rtp://239.255.40.38:8208
CCTV-10(高清),rtp://239.255.40.39:8208
CCTV-11(高清),rtp://239.255.40.2:8208
CCTV-12(高清),rtp://239.255.40.40:8208
CCTV-新闻,rtp://239.255.40.3:8208
CCTV-14(高清),rtp://239.255.40.41:8208
CCTV-音乐(高清),rtp://239.255.40.4:8208
CGTN,rtp://239.255.40.5:8208
CCTV-高网,rtp://239.255.40.162:8208
CCTV17农业(高清),rtp://239.255.40.143:8208
东方卫视(高清),rtp://239.255.40.50:8208
湖南卫视(高清),rtp://239.255.40.43:8208
江苏卫视(高清),rtp://239.255.40.42:8208
浙江卫视(高清),rtp://239.255.40.49:8208
北京卫视(高清),rtp://239.255.40.46:8208
广东卫视(高清),rtp://239.255.40.52:8208
山东卫视(高清),rtp://239.255.40.51:8208
湖北卫视(高清),rtp://239.255.40.47:8208
黑龙江卫视(高清),rtp://239.255.40.44:8208
贵州卫视(高清),rtp://239.255.40.163:8208
安徽卫视(高清),rtp://239.255.40.53:8208
天津卫视(高清),rtp://239.255.40.48:8208
四川卫视,rtp://239.255.40.19:8208
江西卫视,rtp://239.255.40.18:8208
辽宁卫视(高清),rtp://239.255.40.54:8208
重庆卫视,rtp://239.255.40.21:8208
河北卫视(高清),rtp://239.255.40.20:8208
云南卫视,rtp://239.255.40.6:8208
河南卫视(高清),rtp://239.255.40.9:8208
海南卫视(高清),rtp://239.255.40.23:8208
广西卫视,rtp://239.255.40.22:8208
陕西卫视,rtp://239.255.40.10:8208
青海卫视,rtp://239.255.40.15:8208
宁夏卫视,rtp://239.255.40.8:8208
福建综合(高清),rtp://239.255.40.148:8208
东南卫视(高清),rtp://239.255.40.149:8208
福建乡村振兴&#8226;公共频道(高清),rtp://239.255.40.150:8208
福建新闻(高清),rtp://239.255.40.151:8208
福建电视剧,rtp://239.255.40.152:8208
福建旅游,rtp://239.255.40.153:8208
福建经济生活,rtp://239.255.40.154:8208
福建少儿,rtp://239.255.40.156:8208
海峡卫视(高清),rtp://239.255.40.157:8208
福建教育频道,rtp://239.255.40.106:8208
厦门卫视,rtp://239.255.40.28:8208
中国教育-1(高清),rtp://239.255.40.74:8208
纪实频道(高清),rtp://239.255.40.55:8208
中国教育-2,rtp://239.255.40.30:8208
中国气象,rtp://239.255.40.89:8208
金鹰卡通,rtp://239.255.40.25:8208
卡酷卡通,rtp://239.255.40.24:8208
吉林卫视(高清),rtp://239.255.40.17:8208
山西卫视,rtp://239.255.40.13:8208
甘肃卫视,rtp://239.255.40.16:8208
内蒙古卫视,rtp://239.255.40.14:8208
新疆卫视,rtp://239.255.40.11:8208
兵团卫视,rtp://239.255.40.29:8208
西藏卫视,rtp://239.255.40.12:8208
南方卫视,rtp://239.255.40.164:8208
金鹰纪实(高清),rtp://239.255.40.57:8208
三沙卫视,rtp://239.255.40.82:8208
中国教育-4,rtp://239.255.40.31:8208
山东教育,rtp://239.255.40.32:8208
财富天下,rtp://239.255.40.33:8208
欢笑剧场(高清),rtp://239.255.40.144:8208
都市剧场(高清),rtp://239.255.40.145:8208
极速汽车(高清),rtp://239.255.40.90:8208
哈哈炫动,rtp://239.255.40.91:8208
动漫秀场(高清),rtp://239.255.40.146:8208
嘉佳卡通,rtp://239.255.40.26:8208
游戏风云(高清),rtp://239.255.40.147:8208
全纪实(高清),rtp://239.255.40.75:8208
法治天地,rtp://239.255.40.76:8208
东方财*,rtp://239.255.40.77:8208
金色频道,rtp://239.255.40.92:8208
七彩戏剧,rtp://239.255.40.142:8208
生活时尚(高清),rtp://239.255.40.93:8208
少儿动画,rtp://239.255.40.66:8208
魅力时尚,rtp://239.255.40.67:8208
收视指南,rtp://239.255.40.68:8208
电竞天堂(高清),rtp://239.255.40.94:8208
华语影院(高清),rtp://239.255.40.78:8208
全球大片(高清),rtp://239.255.40.165:8208
星光影院,rtp://239.255.40.79:8208
热门剧场(高清),rtp://239.255.40.80:8208
股评汇,rtp://239.255.40.81:8208
百变课堂,rtp://239.255.40.83:8208
谍战剧场(高清),rtp://239.255.40.84:8208
青春动漫(高清),rtp://239.255.40.85:8208
戏曲精选,rtp://239.255.40.86:8208
热门综艺(高清),rtp://239.255.40.87:8208
健康养生,rtp://239.255.40.88:8208
看天下精选,rtp://239.255.40.95:8208
宝宝动画,rtp://239.255.40.96:8208
汽车世界,rtp://239.255.40.97:8208
热播剧场,rtp://239.255.40.69:8208
经典电影,rtp://239.255.40.70:8208
熊猫频道,rtp://239.255.40.72:8208
IPTV谍战剧场,rtp://239.255.40.58:8208
IPTV相声小品,rtp://239.255.40.59:8208
IPTV野外,rtp://239.255.40.60:8208
IPTV法治,rtp://239.255.40.61:8208
直播室101,rtp://239.255.40.98:8208
直播室102,rtp://239.255.40.99:8208
直播室103,rtp://239.255.40.100:8208
直播室104,rtp://239.255.40.101:8208
直播室105,rtp://239.255.40.102:8208
直播室106,rtp://239.255.40.103:8208
直播室107,rtp://239.255.40.104:8208
直播室108,rtp://239.255.40.105:8208
CCTV-1(标清),rtp://239.255.40.108:8208
