海南联通,#genre#
cctv1高清,rtp://239.254.96.82:7640
cctv2高清,rtp://239.254.96.124:7084
cctv3高清,rtp://239.254.96.67:7520
cctv4高清,rtp://239.254.96.180:7092
cctv5高清,rtp://239.254.96.66:7512
cctv5+高清,rtp://239.254.96.83:7004
cctv6高清,rtp://239.254.96.63:7488
cctv7高清,rtp://239.254.96.125:7104
cctv8高清,rtp://239.254.96.62:7480
cctv9高清,rtp://239.254.96.126:7112
cctv10高清,rtp://239.254.96.127:7116
cctv11高清,rtp://239.254.96.187:8166
cctv12高清,rtp://239.254.96.128:7124
cctv13高清,rtp://239.254.96.200:8025
cctv14高清,rtp://239.254.96.129:7132
cctv15高清,rtp://239.254.96.188:8170
cctv16高清,rtp://239.254.96.170:8206
cctv17高清,rtp://239.254.96.57:8204
cctv1,rtp://239.254.96.1:7882
cctv2,rtp://239.254.96.2:7000
cctv4,rtp://239.254.96.4:7016
cctv7,rtp://239.254.96.7:7024
cctv9,rtp://239.254.96.9:7056
cctv10,rtp://239.254.96.10:1348
cctv11,rtp://239.254.96.11:7072
cctv12,rtp://239.254.96.12:7080
cctv14,rtp://239.254.96.14:7236
cctv15,rtp://239.254.96.15:7104
cctv17,rtp://239.254.96.64:8206
海南卫视高清,rtp://239.254.96.179:7154
三沙卫视高清,rtp://239.254.96.184:7158
北京卫视高清,rtp://239.254.96.84:7656
东方卫视高清,rtp://239.254.96.90:7704
湖南卫视高清,rtp://239.254.96.85:7664
广东卫视高清,rtp://239.254.96.130:7048
江苏卫视高清,rtp://239.254.96.88:7688
山东卫视高清,rtp://239.254.96.131:7052
浙江卫视高清,rtp://239.254.96.89:7696
黑龙江卫视高清,rtp://239.254.96.86:7672
湖北卫视高清,rtp://239.254.96.91:7712
深圳卫视高清,rtp://239.254.96.87:7020
贵州卫视高清,rtp://239.254.96.182:7076
河北卫视高清,rtp://239.254.96.181:7072
安徽卫视高清,rtp://239.254.96.133:7064
东南卫视高清,rtp://239.254.96.189:8172
辽宁卫视高清,rtp://239.254.96.132:7056
天津卫视高清,rtp://239.254.96.183:7364
重庆卫视高清,rtp://239.254.96.60:7464
江西卫视高清,rtp://239.254.96.61:7472
吉林卫视高清,rtp://239.254.96.65:7504
海南卫视,rtp://239.254.96.18:7128
三沙卫视,rtp://239.254.96.97:7760
北京卫视,rtp://239.254.96.29:7216
东方卫视,rtp://239.254.96.41:7312
湖南卫视,rtp://239.254.96.25:7184
广东卫视,rtp://239.254.96.45:7344
江苏卫视,rtp://239.254.96.27:7200
山东卫视,rtp://239.254.96.32:7240
浙江卫视,rtp://239.254.96.26:7284
黑龙江卫视,rtp://239.254.96.35:7264
湖北卫视,rtp://239.254.96.40:7304
深圳卫视,rtp://239.254.96.39:7296
贵州卫视,rtp://239.254.96.38:7288
河北卫视,rtp://239.254.96.44:7336
安徽卫视,rtp://239.254.96.28:7208
东南卫视,rtp://239.254.96.43:7328
辽宁卫视,rtp://239.254.96.31:7232
天津卫视,rtp://239.254.96.30:7224
重庆卫视,rtp://239.254.96.42:7320
江西卫视,rtp://239.254.96.37:7088
吉林卫视,rtp://239.254.96.47:7360
广西卫视,rtp://239.254.96.46:7352
内蒙古卫视,rtp://239.254.96.50:7384
新疆卫视,rtp://239.254.96.54:7416
兵团卫视,rtp://239.254.96.153:8126
甘肃卫视,rtp://239.254.96.55:7424
青海卫视,rtp://239.254.96.51:7392
陕西卫视,rtp://239.254.96.48:7368
四川卫视,rtp://239.254.96.36:7272
厦门卫视,rtp://239.254.96.152:8122
河南卫视,rtp://239.254.96.34:7256
宁厦卫视,rtp://239.254.96.52:7400
山西卫视,rtp://239.254.96.49:7376
西藏卫视,rtp://239.254.96.53:7408
云南卫视,rtp://239.254.96.33:7248
CETV1高清,rtp://239.254.96.155:7152
CETV4,rtp://239.254.96.169:8148
山东教育,rtp://239.254.96.151:8118
纪实人文高清,rtp://239.254.96.134:7060
金鹰纪实高清,rtp://239.254.96.154:7156
CGTN高清,rtp://239.254.96.58:7448
CGTN,rtp://239.254.96.16:7112
海南自贸高清,rtp://239.254.96.185:8162
海南公共高清,rtp://239.254.96.186:8164
海南文旅高清,rtp://239.254.96.191:8176
海南少儿高清,rtp://239.254.96.192:8178
海南新闻高清,rtp://239.254.96.190:8174
海南自贸,rtp://239.254.96.19:7136
海南公共,rtp://239.254.96.21:7152
海南文旅,rtp://239.254.96.22:7160
海南少儿,rtp://239.254.96.23:7168
海南新闻,rtp://239.254.96.20:7144
海口1,rtp://239.254.96.103:7808
三亚1,rtp://239.254.96.106:8832
澄迈,rtp://239.254.96.111:7772
