河北电信,#genre#
CCTV-1,rtp://239.254.200.45:8008
CCTV-2,rtp://239.254.200.158:6000
CCTV-3高清,rtp://239.254.201.152:7205
CCTV-4,rtp://239.254.200.190:6307
CCTV-5高清,rtp://239.254.201.153:7206
CCTV-5+高清,rtp://239.254.200.46:8004
CCTV-6高清,rtp://239.254.201.154:7207
CCTV-7,rtp://239.254.200.159:6000
CCTV-8高清,rtp://239.254.201.155:7208
CCTV-9,rtp://239.254.200.59:8112
CCTV-10,rtp://239.254.200.160:6000
CCTV-11,rtp://239.254.201.123:8120
CCTV-12,rtp://239.254.200.161:6000
CCTV-13,rtp://239.254.200.9:8264
CCTV-14,rtp://239.254.200.162:6000
CCTV-15,rtp://239.254.201.124:8136
CCTV-17,rtp://239.254.201.120:8144
CGTN,rtp://239.254.200.12:8056
湖南卫视,rtp://239.254.200.48:8012
浙江卫视,rtp://239.254.200.53:8036
江苏卫视,rtp://239.254.200.51:8028
安徽卫视,rtp://239.254.200.163:6000
东南卫视,rtp://239.254.201.13:6291
北京卫视,rtp://239.254.200.47:8024
天津卫视,rtp://239.254.200.54:1234
辽宁卫视,rtp://239.254.200.57:8056
山东卫视,rtp://239.254.200.55:8052
云南卫视,rtp://239.254.200.68:8108
河南卫视,rtp://239.254.201.16:7174
黑龙江卫视,rtp://239.254.200.49:8016
四川卫视,rtp://239.254.200.202:6325
江西卫视,rtp://239.254.201.12:6290
贵州卫视,rtp://239.254.201.20:6315
深圳卫视,rtp://239.254.200.50:8020
湖北卫视,rtp://239.254.200.164:6000
东方卫视,rtp://239.254.200.52:8032
重庆卫视,rtp://239.254.200.203:6323
山西卫视,rtp://239.254.200.83:8172
广东卫视,rtp://239.254.200.56:8048
广西卫视,rtp://239.254.200.80:8300
吉林卫视,rtp://239.254.201.15:6339
陕西卫视,rtp://239.254.200.82:8140
内蒙古卫视,rtp://239.254.200.84:8176
青海卫视,rtp://239.254.200.85:8184
海南卫视,rtp://239.254.201.125:6288
宁夏卫视,rtp://239.254.200.87:8124
西藏卫视,rtp://239.254.200.88:8164
新疆卫视,rtp://239.254.200.89:8160
甘肃卫视,rtp://239.254.200.17:8180
兵团卫视,rtp://239.254.200.156:4120
三沙卫视,rtp://239.254.200.165:4120
河北卫视,rtp://239.254.200.174:6000
河北经济生活,rtp://239.254.200.18:6000
河北都市,rtp://239.254.200.19:6000
河北影视剧,rtp://239.254.200.20:6000
河北少儿科教,rtp://239.254.200.21:6000
河北公共,rtp://239.254.200.22:6000
河北农民,rtp://239.254.200.23:6000
中国交通频道,rtp://239.254.201.110:5181
睛彩河北,rtp://239.254.200.27:6000
河北杂技频道,rtp://239.254.201.139:7203
纪实人文高清,rtp://239.254.200.58:8060
CETV-1高清,rtp://239.254.200.225:6259
kaku少儿,rtp://239.254.200.91:9248
金鹰卡通,rtp://239.254.200.92:9252
嘉佳卡通,rtp://239.254.201.201:7269
优漫卡通,rtp://239.254.201.203:7178
山东教育,rtp://239.254.200.247:4120
BRTV纪实科教,rtp://239.254.200.188:6311
金鹰纪实高清,rtp://239.254.200.189:6293
CETV-2,rtp://239.254.200.226:6260
CETV-4高清,rtp://239.254.200.227:6261
中学生,rtp://239.254.200.113:6243
CCTV-4K,rtp://239.254.200.122:7266
CCTV4中文国际欧洲,rtp://239.254.201.205:4220
CCTV4中文国际美洲,rtp://239.254.201.206:4220
CGTN 英文记录,rtp://239.254.201.208:4220
CGTN 西班牙语,rtp://239.254.201.209:4220
CGTN 法语,rtp://239.254.201.210:4220
CGTN 阿拉伯语,rtp://239.254.201.211:4220
CGTN 俄语,rtp://239.254.201.212:4220
