电信,#genre#
CCTV1高清,rtp://239.76.253.151:9000
CCTV2高清,rtp://239.76.253.152:9000
CCTV3高清,rtp://239.76.253.153:9000
CCTV4高清,rtp://239.76.253.154:9000
CCTV5+高清,rtp://239.76.253.168:9000
CCTV5高清,rtp://239.76.253.155:9000
CCTV6高清,rtp://239.76.253.156:9000
CCTV7高清,rtp://239.76.253.157:9000
CCTV8高清,rtp://239.76.253.158:9000
CCTV9高清,rtp://239.76.253.159:9000
CCTV9中文,rtp://239.76.253.159:9000
CCTV10高清,rtp://239.76.253.160:9000
CCTV11高清,rtp://239.76.252.251:9000
CCTV12高清,rtp://239.76.253.162:9000
CCTV13高清,rtp://239.76.253.163:9000
CCTV15高清,rtp://239.76.252.252:9000
CCTV17高清,rtp://239.76.252.238:9000
CCTV少儿高清,rtp://239.76.253.164:9000
CETV-1高清,rtp://239.76.252.192:9000
CETV-2,rtp://239.76.252.253:9000
CETV-4,rtp://239.76.252.254:9000
CGTN,rtp://239.76.252.66:9000
CGTN 纪录,rtp://239.76.252.67:9000
CHC动作电影,rtp://239.76.252.243:9000
CHC高清电影,rtp://239.76.252.242:9000
CHC家庭影院,rtp://239.76.252.241:9000
IPTV 4K,rtp://239.76.252.35:9000
IPTV3+,rtp://239.76.252.205:9000
IPTV5+,rtp://239.76.252.222:9000
IPTV5+高清,rtp://239.76.252.222:9000
IPTV大美人,rtp://239.76.252.194:9000
IPTV好吃厨房,rtp://239.76.252.32:9000
IPTV生活家,rtp://239.76.252.193:9000
爱上4K,rtp://239.76.252.223:9000
安徽卫视高清,rtp://239.76.252.196:9000
百姓健康,rtp://239.76.253.10:9000
北京卫视高清,rtp://239.76.253.184:9000
兵团卫视,rtp://239.76.252.232:9000
财富天下,rtp://239.76.253.18:9000
财*频道,rtp://239.76.253.39:9000
凤凰中文,rtp://239.76.246.7:1234
凤凰资讯,rtp://239.76.246.8:1234
茶频道高清,rtp://239.76.252.239:9000
常德新闻综合,rtp://239.76.255.10:9000
东方卫视高清,rtp://239.76.253.186:9000
东南卫视高清,rtp://239.76.252.190:9000
高清院线,rtp://239.76.252.217:9000
古装剧场,rtp://239.76.252.219:9000
广场舞,rtp://239.76.252.134:9000
广东卫视高清,rtp://239.76.252.189:9000
贵州卫视高清,rtp://239.76.252.198:9000
河北卫视高清,rtp://239.76.252.199:9000
黑龙江卫视高清,rtp://239.76.253.200:9000
湖北卫视高清,rtp://239.76.253.193:9000
湖南电视剧高清,rtp://239.76.252.118:9000
湖南电视剧高清,rtp://239.76.253.108:9000
湖南电影高清,rtp://239.76.252.119:9000
湖南电影高清,rtp://239.76.253.106:9000
湖南都市高清,rtp://239.76.252.117:9000
湖南都市高清,rtp://239.76.253.104:9000
湖南公共高清,rtp://239.76.252.123:9000
湖南公共高清,rtp://239.76.253.109:9000
湖南国*高清,rtp://239.76.252.124:9000
湖南国*高清,rtp://239.76.253.102:9000
湖南教育高清,rtp://239.76.252.233:9000
湖南经视高清,rtp://239.76.252.116:9000
湖南经视高清,rtp://239.76.253.103:9000
湖南卫视超清,rtp://239.76.253.100:9000
湖南卫视高清,rtp://239.76.252.115:9000
湖南卫视高清,rtp://239.76.253.101:9000
湖南娱乐高清,rtp://239.76.252.121:9000
湖南娱乐高清,rtp://239.76.253.105:9000
怀化新闻综合,rtp://239.76.255.12:9000
活动直播,rtp://239.76.252.212:9000
家庭剧场,rtp://239.76.252.220:9000
家庭理*,rtp://239.76.253.16:9000
家庭消费,rtp://239.76.253.55:9000
嘉佳卡通,rtp://239.76.252.230:9000
江苏卫视高清,rtp://239.76.253.181:9000
江西卫视高清,rtp://239.76.252.225:9000
金鹰纪实高清,rtp://239.76.252.122:9000
金鹰纪实高清,rtp://239.76.253.110:9000
金鹰卡通高清,rtp://239.76.252.120:9000
金鹰卡通高清,rtp://239.76.253.107:9000
经典电影,rtp://239.76.253.52:9000
经典剧场,rtp://239.76.252.221:9000
卡酷动画,rtp://239.76.252.111:9000
抗战剧场,rtp://239.76.252.218:9000
快乐垂钓高清,rtp://239.76.253.5:9000
快乐购高清,rtp://239.76.252.125:9000
快乐购高清,rtp://239.76.253.112:9000
辽宁卫视高清,rtp://239.76.252.197:9000
浏阳新闻高清,rtp://239.76.255.6:9000
芒果乐活,rtp://239.76.252.201:9000
芒果乐搜,rtp://239.76.252.200:9000
芒果乐淘,rtp://239.76.252.215:9000
魅力时尚,rtp://239.76.253.59:9000
南方卫视,rtp://239.76.252.114:9000
热播剧场,rtp://239.76.253.53:9000
人物,rtp://239.76.253.21:9000
厦门卫视,rtp://239.76.252.231:9000
山东卫视高清,rtp://239.76.253.195:9000
深圳卫视高清,rtp://239.76.253.188:9000
时尚频道高清,rtp://239.76.252.126:9000
时尚频道高清,rtp://239.76.253.113:9000
体育赛事高清,rtp://239.76.253.72:9000
天津卫视高清,rtp://239.76.253.185:9000
现代房产,rtp://239.76.253.54:9000
湘潭公共,rtp://239.76.255.5:9000
湘潭新闻综合,rtp://239.76.255.4:9000
湘西公共,rtp://239.76.245.208:1234
湘西新闻综合,rtp://239.76.245.209:1234
新动漫,rtp://239.76.252.244:9000
熊猫频道,rtp://239.76.252.255:9000
炫动卡通,rtp://239.76.252.133:9000
优漫卡通,rtp://239.76.252.112:9000
优优宝贝,rtp://239.76.253.13:9000
张家界公共,rtp://239.76.252.235:9000
张家界新闻综合,rtp://239.76.252.234:9000
长沙公共,rtp://239.76.245.25:1234
长沙女性,rtp://239.76.252.23:9000
长沙新闻高清,rtp://239.76.253.121:9000
长沙影视高清,rtp://239.76.252.204:9000
长沙政法高清,rtp://239.76.253.122:9000
浙江卫视高清,rtp://239.76.253.182:9000
中国气象,rtp://239.76.253.61:9000
株洲公共,rtp://239.76.252.236:9000
株洲新闻综合,rtp://239.76.248.1:1234
