电信,#genre#
新闻综合,rtp://239.45.3.209:5140
东方卫视,rtp://239.45.3.146:5140
都市频道,rtp://239.45.3.236:5140
纪实人文,rtp://239.45.3.212:5140
东方影视,rtp://239.45.3.237:5140
第一财经,rtp://239.45.3.211:5140
五星体育,rtp://239.45.3.210:5140
哈哈炫动,rtp://239.45.1.55:5140
上视外语,rtp://239.45.1.127:5140
都市剧场,rtp://239.45.3.136:5140
欢笑剧场,rtp://239.45.3.196:5140
欢笑剧场,rtp://239.45.1.4:5140
全纪实,rtp://239.45.3.135:5140
动漫秀场,rtp://239.45.3.134:5140
生活时尚,rtp://239.45.3.132:5140
游戏风云,rtp://239.45.3.131:5140
MAX极速汽车,rtp://239.45.3.49:5140
教育台,rtp://239.45.3.122:5140#rtp://239.45.3.252:5140
东方财经,rtp://239.45.1.119:5140#rtp://239.45.3.192:5140
七彩戏剧,rtp://239.45.3.61:5140#rtp://239.45.1.112:5140
法治天地,rtp://239.45.1.46:5140
浦东频道,rtp://239.45.3.248:5140
崇明电视,rtp://239.45.1.54:5140
嘉定频道,rtp://239.45.3.185:5140
金色频道,rtp://239.45.1.118:5140#rtp://239.45.3.51:5140
健康人生,rtp://239.45.3.214:5140
百事通超级体育,rtp://239.45.3.139:5140
百事通4K,rtp://239.45.1.42:5140#rtp://239.45.3.107:5140
百事通4K（备）,rtp://239.45.3.107:5140
CCTV1综合,rtp://239.45.3.145:5140
CCTV2财经,rtp://239.45.1.109:5140
CCTV3综艺,rtp://239.45.1.68:5140
CCTV4中文国际,rtp://239.45.0.2:5140
CCTV5体育,rtp://239.45.1.69:5140
CCTV6电影,rtp://239.45.1.70:5140
CCTV7国防军事,rtp://239.45.3.56:5140
CCTV8电视剧,rtp://239.45.1.71:5140
CCTV9记录,rtp://239.45.3.4:5140#rtp://239.45.1.108:5140
CCTV10科教,rtp://239.45.3.8:5140
CCTV11戏曲,rtp://239.45.1.196:5140
CCTV12社会与法,rtp://239.45.3.10:5140
CCTV13新闻,rtp://239.45.1.198:5140
CCTV14少儿,rtp://239.45.3.23:5140
CCTV15音乐,rtp://239.45.1.200:5140
CCTV-17农村农业,rtp://239.45.3.52:5140
CGTN,rtp://239.45.1.194:5140
中国教育-1,rtp://239.45.1.125:5140
中国教育-2,rtp://239.45.1.52:5140
中国教育-4,rtp://239.45.1.50:5140
浙江卫视,rtp://239.45.3.178:5140
江苏卫视,rtp://239.45.3.177:5140
湖南卫视,rtp://239.45.3.228:5140#rtp://239.45.3.233:5140
北京卫视,rtp://239.45.3.229:5140
广东卫视,rtp://239.45.3.230:5140
深圳卫视,rtp://239.45.3.231:5140
黑龙江卫视,rtp://239.45.3.232:5140
山东卫视,rtp://239.45.3.238:5140
湖北卫视,rtp://239.45.3.239:5140
安徽卫视,rtp://239.45.1.120:5140
东南卫视,rtp://239.45.1.121:5140
江西卫视,rtp://239.45.1.122:5140
辽宁卫视,rtp://239.45.1.123:5140
天津卫视,rtp://239.45.1.124:5140
四川卫视,rtp://239.45.1.83:5140
重庆卫视,rtp://239.45.1.84:5140
贵州卫视,rtp://239.45.1.80:5140
海南卫视,rtp://239.45.1.81:5140
河北卫视,rtp://239.45.1.44:5140
金鹰纪实,rtp://239.45.1.45:5140
宁夏卫视,rtp://239.45.1.213:5140#rtp://239.45.3.176:5140
广西卫视,rtp://239.45.0.5:5140
吉林卫视,rtp://239.45.0.6:5140
山西卫视,rtp://239.45.1.229:5140#rtp://239.45.3.171:5140
青海卫视,rtp://239.45.1.230:5140#rtp://239.45.3.172:5140
西藏卫视,rtp://239.45.1.231:5140#rtp://239.45.3.173:5140
陕西卫视,rtp://239.45.1.232:5140#rtp://239.45.3.174:5140
云南卫视,rtp://239.45.0.4:5140
甘肃卫视,rtp://239.45.1.234:5140#rtp://239.45.3.175:5140
内蒙古卫视,rtp://239.45.1.238:5140#rtp://239.45.3.221:5140
河南卫视,rtp://239.45.0.3:5140
新疆卫视,rtp://239.45.1.116:5140#rtp://239.45.3.142:5140
兵团卫视,rtp://239.45.1.117:5140#rtp://239.45.3.143:5140
三沙卫视,rtp://239.45.1.82:5140
康巴卫视,rtp://239.45.1.251:5140
金鹰卡通,rtp://239.45.3.118:5140#rtp://239.45.3.119:5140
嘉佳卡通,rtp://239.45.1.48:5140
卡酷少儿,rtp://239.45.0.8:5140
北京冬奥纪实,rtp://239.45.1.14:5140
中国天气,rtp://239.45.1.47:5140
陶瓷,rtp://239.45.3.50:5140
东方购物-1HD,rtp://239.45.3.74:5140
东方购物-2HD,rtp://239.45.3.75:5140
东方购物-3HD,rtp://239.45.3.207:5140
东方购物-4HD,rtp://239.45.3.208:5140
东方购物-5HD,rtp://239.45.3.253:5140
聚鲨环球精选,rtp://239.45.3.123:5140
央广购物,rtp://239.45.3.213:5140
家家购物,rtp://239.45.3.179:5140
快乐购物,rtp://239.45.1.53:5140
优购物,rtp://239.45.1.114:5140#rtp://239.45.3.186:5140
好享购物,rtp://239.45.1.253:5140
中央购物,rtp://239.45.3.79:5140
家有购物,rtp://239.45.1.43:5140

