联通,#genre#
导视频道,rtp://225.1.1.77:5002
天津卫视HD,rtp://225.1.1.111:5002
天津新闻HD,rtp://225.1.1.130:5002
天津文艺HD,rtp://225.1.1.131:5002
天津影视HD,rtp://225.1.1.149:5002
天津都市HD,rtp://225.1.1.128:5002
天津体育HD,rtp://225.1.1.122:5002
天津科教HD,rtp://225.1.1.129:5002
天津少儿HD,rtp://225.1.1.125:5002
蓟州区HD,rtp://225.1.1.82:5002
宝坻区,rtp://225.1.1.83:5002
静海区,rtp://225.1.1.110:5002
河东区,rtp://225.1.2.2:5002
河西区,rtp://225.1.2.4:5002
滨海新区1,rtp://225.1.2.7:5002
滨海新区2,rtp://225.1.2.8:5002
4K超清影视,rtp://225.1.1.156:5002
CCTV-1综合HD,rtp://225.1.1.120:5002
CCTV-2财经HD,rtp://225.1.1.133:5002
CCTV-3综合文艺HD,rtp://225.1.1.158:5002
CCTV-4中文国际HD,rtp://225.1.1.150:5002
CCTV-5体育HD,rtp://225.1.1.170:5002
CCTV5+ HD,rtp://225.1.1.121:5002
CCTV-6电影HD,rtp://225.1.1.195:5002
CCTV-7农业HD,rtp://225.1.1.138:5002
CCTV-8电视剧HD,rtp://225.1.1.196:5002
CCTV-9记录HD,rtp://225.1.1.119:5002
CCTV-10科教HD,rtp://225.1.1.140:5002
CCTV-11戏曲,rtp://225.1.1.22:5002
CCTV-12社会与法HD,rtp://225.1.1.142:5002
CCTV-13新闻,rtp://225.1.1.24:5002
CCTV-14少儿HD,rtp://225.1.1.144:5002
CCTV-15音乐,rtp://225.1.1.26:5002
CGTN,rtp://225.1.1.27:5002
CGTN-纪录,rtp://225.1.1.55:5002
湖南卫视HD,rtp://225.1.1.114:5002
江苏卫视HD,rtp://225.1.1.126:5002
浙江卫视HD,rtp://225.1.1.112:5002
安徽卫视HD,rtp://225.1.1.127:5002
北京卫视HD,rtp://225.1.1.113:5002
黑龙江卫视HD,rtp://225.1.1.115:5002
广东卫视HD,rtp://225.1.1.116:5002
深圳卫视HD,rtp://225.1.1.117:5002
四川卫视HD,rtp://225.1.1.123:5002
湖北卫视HD,rtp://225.1.1.147:5002
山东卫视HD,rtp://225.1.1.148:5002
辽宁卫视HD,rtp://225.1.1.154:5002
重庆卫视HD,rtp://225.1.1.155:5002
吉林卫视HD,rtp://225.1.2.26:5002
河北卫视HD,rtp://225.1.2.27:5002
贵州卫视HD,rtp://225.1.2.28:5002
江西卫视HD,rtp://225.1.2.29:5002
上海东方HD,rtp://225.1.2.31:5002
河南卫视HD,rtp://225.1.2.61:5002
广西卫视HD,rtp://225.1.2.81:5002
海南卫视HD,rtp://225.1.2.82:5002
甘肃卫视,rtp://225.1.1.30:5002
内蒙古卫视,rtp://225.1.1.32:5002
新疆卫视,rtp://225.1.1.35:5002
东南卫视,rtp://225.1.1.38:5002
陕西卫视,rtp://225.1.1.41:5002
山西卫视,rtp://225.1.1.50:5002
西藏卫视,rtp://225.1.1.51:5002
青海卫视,rtp://225.1.1.54:5002
宁夏卫视,rtp://225.1.1.56:5002
云南卫视,rtp://225.1.1.61:5002
兵团卫视,rtp://225.1.1.57:5002
金鹰卡通,rtp://225.1.1.59:5002
BTV卡酷少儿,rtp://225.1.1.58:5002
BTV冬奥纪实HD,rtp://225.1.2.30:5002
炫动卡通,rtp://225.1.1.62:5002
金鹰纪实HD,rtp://225.1.1.124:5002
动漫秀场HD,rtp://225.1.1.134:5002
萌宠,rtp://225.1.1.96:5002
游戏风云高清,rtp://225.1.1.135:5002
欢笑剧场高清,rtp://225.1.1.139:5002
Max极速汽车高清,rtp://225.1.1.141:5002
生活时尚高清,rtp://225.1.1.143:5002
全纪实高清,rtp://225.1.1.145:5002
纪实人文高清,rtp://225.1.2.25:5002
都市剧场高清,rtp://225.1.1.146:5002
幸福彩高清,rtp://225.1.1.152:5002
陶瓷高清,rtp://225.1.1.153:5002
DogT高清,rtp://225.1.1.132:5002
CHC家庭影院高清,rtp://225.1.1.213:5002
CHC高清电影,rtp://225.1.1.214:5002
CHC动作电影,rtp://225.1.1.215:5002
金色频道高清,rtp://225.1.1.236:5002
法治天地高清,rtp://225.1.1.237:5002
映画高清,rtp://225.1.1.238:5002
剧场高清,rtp://225.1.1.239:5002
新知高清,rtp://225.1.1.240:5002
新艺高清,rtp://225.1.1.241:5002
英伦高清,rtp://225.1.1.242:5002
怡家高清,rtp://225.1.1.243:5002
环映高清,rtp://225.1.1.244:5002
雅趣高清,rtp://225.1.1.245:5002
快乐垂钓,rtp://225.1.2.18:5002
茶频道,rtp://225.1.2.19:5002
休闲体育高清,rtp://225.1.1.157:5002
CCTV风云足球,rtp://225.1.1.181:5002
CCTV高尔夫网球,rtp://225.1.1.182:5002
CCTV第一剧场,rtp://225.1.1.183:5002
CCTV怀旧剧场,rtp://225.1.1.184:5002
CCTV风云剧场,rtp://225.1.1.185:5002
CCTV世界地理,rtp://225.1.1.186:5002
CCTV国防军事,rtp://225.1.1.187:5002
CCTV老故事,rtp://225.1.1.188:5002
CCTV央视文化精品,rtp://225.1.1.189:5002
CCTV女性时尚,rtp://225.1.1.190:5002
CCTV新科动漫,rtp://225.1.1.191:5002
CCTV风云音乐,rtp://225.1.1.192:5002
CCTV电视指南,rtp://225.1.1.194:5002
CCTV央视台球,rtp://225.1.1.198:5002
国学频道,rtp://225.1.1.199:5002
靓妆,rtp://225.1.1.200:5002
梨园频道,rtp://225.1.1.202:5002
文物宝库,rtp://225.1.1.203:5002
早期教育,rtp://225.1.1.204:5002
汽摩频道,rtp://225.1.1.205:5002
彩民在线,rtp://225.1.1.206:5002
DV生活,rtp://225.1.1.207:5002
武术世界,rtp://225.1.1.208:5002
CCTV卫生与健康,rtp://225.1.1.210:5002
七彩戏剧,rtp://225.1.1.86:5002
东方财经,rtp://225.1.1.87:5002
新动漫,rtp://225.1.1.216:5002
网络棋牌,rtp://225.1.1.217:5002
中华美食,rtp://225.1.1.218:5002
先锋乒羽,rtp://225.1.1.219:5002
天津文艺广播,rtp://225.1.1.171:5002
天津经济广播,rtp://225.1.1.172:5002
天津新闻广播,rtp://225.1.1.173:5002
天津生活广播,rtp://225.1.1.174:5002
天津交通广播,rtp://225.1.1.175:5002
天津相声广播,rtp://225.1.1.176:5002
天津小说广播,rtp://225.1.1.177:5002
天津滨海广播,rtp://225.1.1.178:5002
天津音乐广播,rtp://225.1.1.179:5002
天津农村广播,rtp://225.1.1.180:5002
东方购物,rtp://225.1.1.223:5002
好享购物,rtp://225.1.1.224:5002
优购物,rtp://225.1.1.225:5002
家有购物,rtp://225.1.1.226:5002
家家购物,rtp://225.1.1.227:5002
聚鲨环球购物,rtp://225.1.1.102:5002
三佳购物,rtp://225.1.1.151:5002
央广购物,rtp://225.1.1.65:5002
食全食美,rtp://225.1.1.108:5002
