电信,#genre#
CCTV1,rtp://239.200.201.135:8880
CCTV1,rtp://239.200.201.29:4120
CCTV1,rtp://239.200.200.70:8008
CCTV1,rtp://239.200.200.95:8044
CCTV1,rtp://239.200.201.138:8556
CCTV1,rtp://239.200.200.2:8080
CCTV2,rtp://239.200.200.104:8084
CCTV2,rtp://239.200.200.1:8004
CCTV3,rtp://239.200.200.18:9008
CCTV3,rtp://239.200.200.76:9004
CCTV3,rtp://239.200.200.71:8012
CCTV4,rtp://239.200.200.128:8652
CCTV4,rtp://239.200.200.19:8216
CCTV4K,rtp://239.200.200.202:8784
CCTV4美洲,rtp://239.200.201.181:4220
CCTV4欧洲,rtp://239.200.201.180:4220
CCTV5,rtp://239.200.201.5:4120
CCTV5,rtp://239.200.201.81:4120
CCTV5,rtp://239.200.200.20:9016
CCTV5,rtp://239.200.200.10:9008
CCTV5+,rtp://239.200.200.9:8004
CCTV6,rtp://239.200.200.21:9020
CCTV7,rtp://239.200.200.105:8104
CCTV7,rtp://239.200.200.22:8024
CCTV8,rtp://239.200.200.23:9028
CCTV8,rtp://239.200.200.72:9020
CCTV9,rtp://239.200.200.106:8112
CCTV9,rtp://239.200.200.24:8032
CCTV10,rtp://239.200.200.25:8228
CCTV10,rtp://239.200.200.107:8116
CCTV11,rtp://239.200.201.125:8480
CCTV12,rtp://239.200.200.108:8124
CCTV12,rtp://239.200.200.27:8232
CCTV13,rtp://239.200.201.170:8620
CCTV13,rtp://239.200.200.4:8484
CCTV14,rtp://239.200.200.109:8132
CCTV14,rtp://239.200.200.28:8236
CCTV15,rtp://239.200.201.112:8496
CCTV16,rtp://239.200.200.193:8776
CCTV16-4K,rtp://239.200.200.194:8780
CCTV17,rtp://239.200.201.128:8504
CCTV兵器科技,rtp://239.200.200.91:8036
CCTV第一剧场,rtp://239.200.200.82:8004
CCTV电视指南,rtp://239.200.200.83:8000
CCTV风云剧场,rtp://239.200.200.84:8016
CCTV风云音乐,rtp://239.200.200.86:8008
CCTV风云足球,rtp://239.200.200.88:8020
CCTV高尔夫网球,rtp://239.200.200.89:8024
CCTV怀旧剧场,rtp://239.200.200.85:8032
CCTV老故事,rtp://239.200.200.93:8088
CCTV女性时尚,rtp://239.200.200.100:8084
CCTV世界地理,rtp://239.200.200.130:8012
CCTV央视台球,rtp://239.200.200.135:8076
CCTV央视文化精品,rtp://239.200.200.92:8028
CCTV中学生,rtp://239.200.200.136:8060
CETV1,rtp://239.200.201.49:8756
CETV1,rtp://239.200.201.145:8852
CETV2,rtp://239.200.201.121:8780
CETV4,rtp://239.200.201.122:8784
CGTN,rtp://239.200.200.30:8500
CGTN,rtp://239.200.201.182:4220
CGTN,rtp://239.200.201.183:4220
CGTN,rtp://239.200.201.186:4220
CGTN,rtp://239.200.201.187:4220
CGTN,rtp://239.200.201.184:4220
CGTN,rtp://239.200.201.185:4220
CHC动作电影,rtp://239.200.201.31:8144
CHC高清电影,rtp://239.200.201.34:8148
CHC家庭影院,rtp://239.200.201.30:8140
Unknown_163,rtp://239.200.200.51:8272
安徽卫视,rtp://239.200.200.129:8720
安徽卫视,rtp://239.200.200.37:8212
北京纪实,rtp://239.200.200.147:8728
北京卫视,rtp://239.200.200.38:8216
北京卫视,rtp://239.200.200.5:8024
财富天下,rtp://239.200.201.178:8684
茶频道,rtp://239.200.201.36:8404
车迷频道,rtp://239.200.201.174:8640
楚雄文旅,rtp://239.200.200.117:8712
楚雄综合,rtp://239.200.200.116:8708
大湾区,rtp://239.200.201.146:8136
电视剧,rtp://239.200.200.77:9016
电视剧,rtp://239.200.200.74:9012
电视剧,rtp://239.200.200.73:9024
电视剧,rtp://239.200.200.11:8072
电视剧,rtp://239.200.200.81:1234
电视剧,rtp://239.200.200.78:1234
