移动,#genre#
云南卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000124/131.m3u8
昭通-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000029/29.m3u8
西双版纳-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000042/45.m3u8
西双版纳-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000043/44.m3u8
德宏新闻综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000047/48.m3u8
德宏公共,http://183.224.43.183:8007/TV/0/00000001000000050000000000000048/49.m3u8
迪庆新闻综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000076/83.m3u8
迪庆藏语,http://183.224.43.183:8007/TV/0/00000001000000050000000000000077/82.m3u8
香格里拉,http://183.224.43.183:8007/TV/0/00000001000000050000000000000078/81.m3u8
德钦,http://183.224.43.183:8007/TV/0/00000001000000050000000000000079/80.m3u8
维西,http://183.224.43.183:8007/TV/0/00000001000000050000000000000080/79.m3u8
昭通-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000082/85.m3u8
昭通-3,http://183.224.43.183:8007/TV/0/00000001000000050000000000000083/86.m3u8
盈江,http://183.224.43.183:8007/TV/0/00000001000000050000000000000084/87.m3u8
芒市,http://183.224.43.183:8007/TV/0/00000001000000050000000000000085/89.m3u8
红河-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000088/94.m3u8
红河-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000089/93.m3u8
保山-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000092/103.m3u8
保山-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000093/102.m3u8
临沧-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000098/100.m3u8
临沧-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000099/99.m3u8
丽江新闻综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000100/98.m3u8
丽江公共,http://183.224.43.183:8007/TV/0/00000001000000050000000000000101/97.m3u8
临翔,http://183.224.43.183:8007/TV/0/00000001000000050000000000000133/139.m3u8
云县,http://183.224.43.183:8007/TV/0/00000001000000050000000000000134/138.m3u8
凤庆,http://183.224.43.183:8007/TV/0/00000001000000050000000000000135/137.m3u8
永德,http://183.224.43.183:8007/TV/0/00000001000000050000000000000136/136.m3u8
耿马,http://183.224.43.183:8007/TV/0/00000001000000050000000000000137/135.m3u8
双江,http://183.224.43.183:8007/TV/0/00000001000000050000000000000138/134.m3u8
镇康,http://183.224.43.183:8007/TV/0/00000001000000050000000000000139/133.m3u8
文山公共,http://183.224.43.183:8007/TV/0/00000001000000050000000000000140/141.m3u8
文山新闻综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000141/140.m3u8
沧源,http://183.224.43.183:8007/TV/0/00000001000000050000000000000142/146.m3u8
兰坪,http://183.224.43.183:8007/TV/0/00000001000000050000000000000143/145.m3u8
泸水,http://183.224.43.183:8007/TV/0/00000001000000050000000000000144/144.m3u8
普洱-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000147/147.m3u8
大理-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000150/150.m3u8
大理-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000151/149.m3u8
大理-3,http://183.224.43.183:8007/TV/0/00000001000000050000000000000152/148.m3u8
曲靖-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000153/155.m3u8
曲靖-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000154/153.m3u8
曲靖-3,http://183.224.43.183:8007/TV/0/00000001000000050000000000000155/154.m3u8
宾川1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000156/157.m3u8
宾川2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000157/156.m3u8
大姚,http://183.224.43.183:8007/TV/0/00000001000000050000000000000158/158.m3u8

联通,#genre#

电信,#genre#
#EXTM3U
电竞世界ESPTV,http://182.245.29.132:8086/423/423.m3u8
元阳台,http://182.245.29.132:8086/507/507.m3u8
勐海台,http://182.245.29.132:8086/438/438.m3u8
靓妆,http://182.245.29.132:8086/223/223.m3u8
云南少儿高清,http://182.245.29.132:8086/152/152.m3u8
CCTV-10-SD-点播,http://182.245.29.132:8086/475/475.m3u8
