4K测试,rtp://233.50.201.225:5140
Bestv,rtp://233.50.200.32:5140
Bestv,rtp://233.50.200.97:5140
Bestv,rtp://233.50.200.99:5140
Bestv,rtp://233.50.200.101:5139
Bestv,rtp://233.50.200.102:5140
Bestv,rtp://233.50.200.105:5140
Bestv,rtp://233.50.200.109:5140
Bestv,rtp://233.50.200.110:5140
Bestv,rtp://233.50.200.112:5140
Bestv,rtp://233.50.200.113:5140
Bestv,rtp://233.50.200.122:5140
Bestv,rtp://233.50.200.124:5139
Bestv,rtp://233.50.200.125:5140
Bestv,rtp://233.50.200.141:5140
Bestv,rtp://233.50.200.153:5140
Bestv,rtp://233.50.200.154:5140
Bestv,rtp://233.50.200.155:5140
Bestv,rtp://233.50.200.158:5140
Bestv,rtp://233.50.200.173:5140
Bestv,rtp://233.50.200.233:5140
Bestv,rtp://233.50.200.236:5140
Bestv,rtp://233.50.200.237:5140
Bestv,rtp://233.50.200.244:5140
Bestv,rtp://233.50.200.31:5140
Bestv,rtp://233.50.200.101:5140
Bestv,rtp://233.50.200.103:5139
Bestv,rtp://233.50.200.108:5140
Bestv,rtp://233.50.200.124:5140
Bestv,rtp://233.50.200.138:5140
Bestv,rtp://233.50.200.150:5140
Bestv,rtp://233.50.200.234:5140
Bestv,rtp://233.50.200.235:5140
Bestv,rtp://233.50.200.246:5140
Bestv,rtp://233.50.200.247:5139
CCTV1,rtp://233.50.200.72:5140
CCTV1,rtp://233.50.200.72:5139
CCTV1,rtp://233.50.200.44:5140
CCTV1,rtp://233.50.200.134:5140
CCTV1,rtp://233.50.200.191:5140
CCTV1,rtp://233.50.200.192:5139
CCTV1,rtp://233.50.200.218:5140
CCTV1,rtp://233.50.200.220:5140
CCTV1,rtp://233.50.200.243:5140
CCTV1,rtp://233.50.201.88:5140
CCTV1,rtp://233.50.201.96:5140
CCTV1,rtp://233.50.201.109:5140
CCTV1,rtp://233.50.201.127:5140
CCTV1,rtp://233.50.201.128:5140
CCTV1,rtp://233.50.201.135:5140
CCTV1,rtp://233.50.201.166:5140
CCTV1,rtp://233.50.201.217:5140
